savant_data (9)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,667463,"King, John",2024-06-01,745575,13,15.4,1,3,,4,2.05,2.016,0.994,1,1,109.2,28,1672,83.8,83.05,0,1,1,-0.7999999999999970,5.95,128,147,124,154,289,329,286,-1.8,1.8,79.62547,7.8189
3,671096,"Abbott, Andrew",2024-06-21,746698,90,3.3,1,3,,4,2.05,1.169,0.669,1,1,101.7,25,2245,84.8,85.1,0,2,1,0.29999999999999700,6.43,125,148,120,153,277,319,298,-0.9,0.9,73.801195,8.22881
2,663947,"Holton, Tyler",2024-06-24,746458,36,5.6,1,3,,4,2.05,1.836,0.966,1,1,108.4,23,1647,84.7,85.25,0,1,1,0.5999999999999940,6.5,105,147,123,148,282,336,303,-2.9,2.9,73.51476,7.54644
1,664285,"Valdez, Framber",2024-05-20,746390,86,1.2,1,3,,4,2.05,0.357,0.211,1,1,95.7,31,1552,87.3,86.8,0,1,0,-0.5,6.1,112,144,105,142,275,316,296,-2.3,2.3,65.80599,7.68563
2,656222,"Beeks, Jalen",2024-05-03,745510,10,20,1,3,,4,2.05,2,1,1,1,111.7,27,2051,89.8,89.9,1,2,0,0.10000000000000900,6.4,125,149,120,153,296,324,298,-1.6,1.6,,
2,527048,"Pérez, Martín",2024-05-03,745510,88,2.3,1,3,,4,2.05,2,1,1,1,112.2,34,1700,83.6,82.85,0,2,0,-0.7000000000000030,5.75,108,148,116,153,304,320,306,-1,1,80.873985,7.840855
4,669373,"Skubal, Tarik",2024-07-12,746450,101,4,1,3,,4,2.05,0.959,0.603,1,1,100.9,24,1621,86.7,86.5,0,2,2,-0.20000000000000300,6.22,111,149,141,152,285,334,316,-1,1,74.82105,7.70076
8,594835,"Gonzales, Marco",2024-07-27,747171,67,11.9,1,3,,4,2.05,1.012,0.514,1,1,99.8,31,2264,80.3,80.51,1,6,2,0.20000000000000300,6.47,118,146,100,150,295,328,310,-1,1,72.378718333,7.661931667
1,621383,"Banks, Tanner",2024-08-05,746116,18,5.6,1,3,,4,2.05,1.56,0.769,1,1,107.4,37,1934,86.3,86,0,1,0,-0.29999999999999700,5.8,129,149,121,154,298,316,320,-1,1,78.44599,7.82304
2,673513,"Matsui, Yuki",2024-07-24,744824,11,18.2,1,2,1,3,1.59,0.519,0.546,1,1,101.1,3,1421,87,86.75,0,1,1,-0.20000000000000300,5.95,126,148,131,154,289,322,304,-0.7,0.7,78.51889,7.53484
2,570257,"Rodríguez, Joely",2024-08-24,746917,11,18.2,1,2,1,3,1.59,0.835,0.783,1,1,107.7,14,1050,87.6,87.3,0,1,1,-0.29999999999999700,6.4,119,150,90,155,276,325,315,-0.7,0.7,76.5761,7.14979
1,674944,"Guenther, Sean",2024-09-16,746260,16,6.3,1,2,1,3,1.59,0.225,0.248,1,1,96.5,-11,925,82.8,83.5,0,1,0,0.7000000000000030,6.6,127,148,130,152,288,338,311,-0.7,0.7,76.69621,7.72148
9,622072,"Wood, Alex",2024-04-20,746651,86,10.5,1,1.5,1,2.5,1.466,1.075,0.712,2,2,103,13,1644,84.9,84.18,0,4,5,-0.7000000000000030,6,117,147,115,150,291,308,292,-2.1,2.1,71.2654025,7.797975
2,673513,"Matsui, Yuki",2024-04-12,746162,15,13.3,1,1,1,2,1.254,0.835,0.783,1,1,107.9,14,1479,85.8,85.65,0,2,0,-0.09999999999999430,6,129,148,130,150,305,329,301,-0.3,0.3,78.17862,7.7894
3,666142,"Ragans, Cole",2024-04-09,746326,96,3.1,1,1,1,2,1.254,0.28,0.2,1,1,95.2,26,2228,87.4,86.7,0,1,2,-0.7000000000000030,6.2,124,145,122,151,308,332,299,-1,1,74.96096,8.35036
1,542881,"Anderson, Tyler",2024-04-24,746244,105,1,1,1,1,2,1.254,0.841,0.86,1,1,87.5,13,1827,79.7,78.9,0,1,0,-0.7999999999999970,5.9,118,146,145,155,297,330,303,-0.6,0.6,60.44951,6.71054
1,676879,"Ashby, Aaron",2024-04-08,746735,82,1.2,1,1,1,2,1.254,0.333,0.357,1,1,82.7,3,1848,89,87.6,0,1,0,-1.4000000000000100,5.2,93,102,97,110,304,328,296,-0.7,0.7,76.39855,8.28017
9,622072,"Wood, Alex",2024-04-14,745681,100,9,1,1,1,2,1.254,0.541,0.597,1,1,101.3,7,1648,84.2,84.04,2,4,5,-0.20000000000000300,6.29,111,144,120,145,288,314,296,-1,1,73.2561175,7.8699475
2,624133,"Suárez, Ranger",2024-09-10,745535,88,2.3,1,1,1,2,1.254,0.902,0.943,1,1,102.7,11,1161,78.2,78,0,2,0,-0.20000000000000300,6.3,111,124,103,128,284,320,295,-0.7,0.7,69.65053,7.71887
2,500779,"Quintana, Jose",2024-06-21,746861,103,1.9,1,1,1,2,1.254,0.855,0.891,1,1,96.7,14,1335,86.9,87.15,1,2,0,0.29999999999999700,6.4,87,147,142,153,294,328,298,-0.7,0.7,70.796725,8.40163
2,641302,"Alexander, Tyler",2024-05-30,745081,79,2.5,1,1,1,2,1.254,0.38,0.415,1,1,102,-3,1636,81.7,81.4,0,1,1,-0.29999999999999700,6.3,121,149,134,154,286,320,298,-0.3,0.3,80.23447,7.72851
2,573009,"Mantiply, Joe",2024-06-23,745566,16,12.5,1,1,1,2,1.254,0.041,0.046,1,1,62.3,-15,1669,83.9,83.35,0,2,0,-0.6000000000000090,6.4,119,143,122,152,287,337,294,-0.7,0.7,67.829035,8.375655
1,676596,"Fleming, Josh",2024-05-10,745506,17,5.9,1,1,1,2,1.254,0.706,0.763,1,1,85.7,19,1489,84.7,85.4,0,1,0,0.7000000000000030,6.8,88,149,129,151,296,327,298,-0.8,0.8,70.88908,7.28087
1,666200,"Luzardo, Jesús",2024-06-04,746060,83,1.2,1,1,1,2,1.254,1.696,0.934,1,1,107,23,1800,86.4,84.9,0,1,0,-1.5,5.5,116,141,98,144,295,316,294,-1.6,1.6,73.47316,6.44728
1,519043,"Moore, Matt",2024-05-31,745253,23,4.3,1,1,1,2,1.254,0.333,0.303,1,1,95.9,21,1953,85.2,84.8,0,1,0,-0.4000000000000060,6.2,113,146,145,155,287,323,303,-0.2,0.2,75.87797,7.66175
2,673513,"Matsui, Yuki",2024-06-29,746940,18,11.1,1,1,1,2,1.254,0.218,0.231,1,1,100,-6,1621,88,88.35,0,1,1,0.29999999999999700,6.2,125,148,128,154,274,314,309,-0.3,0.3,74.18629,8.05796
1,622065,"Young, Alex",2024-07-24,745716,24,4.2,1,1,1,2,1.254,0.751,0.797,1,1,97.8,15,1449,85.7,85.5,0,1,0,-0.20000000000000300,5.9,126,149,126,154,292,326,299,-0.6,0.6,80.56479,7.95269
1,684007,"Imanaga, Shota",2024-08-30,744810,96,1,1,1,1,2,1.254,0.541,0.471,1,1,99.4,17,1184,83.4,83.5,0,1,0,0.09999999999999430,6.5,129,150,110,154,288,319,300,-1.7,1.7,72.01959,7.54646
1,694363,"Shuster, Jared",2024-08-23,746758,31,3.2,1,1,1,2,1.254,0.046,0.043,1,1,78.7,47,1689,83.3,84,0,1,0,0.7000000000000030,6.6,124,147,126,152,283,325,298,-0.6,0.6,68.89237,6.67036
2,669062,"Miller, Erik",2024-06-02,745330,14,14.3,1,1,1,2,1.254,0.908,0.934,1,1,101.4,12,1778,84.8,85.05,0,1,1,0.29999999999999700,6.4,124,150,125,154,284,308,307,-2.5,2.5,69.74103,6.6
7,624133,"Suárez, Ranger",2024-06-19,745561,94,7.4,1,0.5,1,1.5,1.068,0.42,0.366,2,2,86.7,20,1207,79.2,78.93,1,4,3,-0.29999999999999700,6.23,125,146,116,151,286,326,301,-0.8,0.8,68.411036667,6.990136667
4,666200,"Luzardo, Jesús",2024-04-08,745761,94,4.3,0.5,1.5,,2,1.025,0.473,0.235,1,2,107.7,42,2006,88.6,87.65,1,3,1,-0.8999999999999920,5.92,126,149,113,151,282,325,301,-2.1,2.1,74.311153333,7.532736667
5,571510,"Boyd, Matthew",2024-08-20,745707,85,5.9,0.5,1.5,0,2,1.025,0.223,0.163,1,2,85.8,52,1895,82.5,82.28,0,3,2,-0.20000000000000300,6.2,123,148,115,154,303,336,300,-0.8,0.8,70.486663333,7.6028
6,676282,"Cantillo, Joey",2024-08-21,745704,88,6.8,1,1,1,2,0.972,0.432,0.182,1,1,77.8,2,1476,78.7,80.23,0,2,4,1.5,7.37,126,149,125,153,298,328,300,-2.2,2.2,75.22314,7.58737
