savant_data (10)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,624647,"González, Victor",2024-05-08,745749,10,20,1,3,,4,2.05,0.394,0.209,1,1,96.4,30,2153,86.5,86.5,0,1,1,0,6.6,119,154,118,150,291,327,272,-1,1,76.26833,8.41188
2,676614,"Sammons, Bryan",2024-07-29,746444,96,2.1,1,3,,4,2.05,2,1,1,1,108.8,26,1322,81,81.1,0,1,1,0.09999999999999430,6.15,118,155,122,147,294,326,290,-1,1,77.49316,7.85799
5,656641,"Latz, Jacob",2024-07-06,744995,17,29.4,1,3,,4,2.05,0.751,0.451,1,1,99,25,2043,86.3,86.38,1,3,2,0.10000000000000900,6.42,115,154,120,152,315,323,295,-2.5,2.5,78.247406667,8.303103333
1,676979,"Crochet, Garrett",2024-06-13,745245,102,1,1,3,,4,2.05,0.324,0.16,1,1,99.2,38,2136,89.9,90.9,0,1,0,1,7,114,153,125,150,303,321,290,-1,1,74.78665,8.35921
8,519043,"Moore, Matt",2024-08-25,744892,18,44.4,1,3,,4,2.05,1.127,0.589,1,1,103.6,36,1901,83.2,83.06,0,4,4,-0.10000000000000900,6.1,102,154,129,149,305,325,287,-1.7,1.7,74.26952,7.715655
3,672582,"Zerpa, Angel",2024-04-13,745839,16,18.8,1,3,,4,2.05,1.855,0.957,1,1,106.9,25,1491,89.5,88.7,0,2,1,-0.7999999999999970,5.8,117,152,124,149,298,311,294,-1.1,1.1,68.94043,7.067745
3,519293,"Smith, Will",2024-06-29,746289,20,15,1,3,,4,2.05,1.836,0.966,1,1,108,23,1987,85.2,85.37,1,2,1,0.20000000000000300,6.27,115,153,119,149,317,331,300,-1,1,78.81559,8.401055
4,571578,"Corbin, Patrick",2024-08-10,744820,95,4.2,1,3,,4,2.05,1.169,0.669,1,1,101.8,25,1535,77.6,78.3,1,2,2,0.7000000000000030,6.72,114,150,122,146,301,325,295,-1,1,67.08681,7.48443
4,519008,"McFarland, T.J.",2024-07-06,745642,26,15.4,1,3,,4,2.05,1.89,0.937,1,1,107.6,32,1742,81.5,79.95,0,3,1,-1.5999999999999900,5.17,111,152,123,150,298,314,297,-1,1,71.760616667,8.078086667
6,671096,"Abbott, Andrew",2024-05-04,746720,84,7.1,1,3,,4,2.05,0.757,0.469,1,1,97.6,28,2113,84.1,84.72,1,3,3,0.6000000000000090,6.62,109,148,115,150,297,316,278,-0.8,0.8,69.16742,7.603343333
1,518617,"Diekman, Jake",2024-07-28,745795,21,4.8,1,3,,4,2.05,1.538,0.76,1,1,102.6,30,1733,86.4,86,0,1,0,-0.4000000000000060,6.2,88,150,123,146,301,324,292,-1.6,1.6,74.87668,7.76724
7,607536,"Freeland, Kyle",2024-08-11,746517,65,10.8,1,3,,4,2.05,2,1,1,1,104.4,32,1430,85.3,86.14,0,3,4,0.7999999999999970,6.49,112,152,131,147,319,350,308,-2,2,74.343513333,8.37345
5,641482,"Cortes, Nestor",2024-06-29,744921,87,5.7,1,3,,4,2.05,1.696,0.934,1,1,106.5,23,1400,82.2,81.78,0,2,3,-0.4000000000000060,5.98,109,151,123,151,292,322,281,-1.8,1.8,70.196055,7.22113
6,668941,"Romero, JoJo",2024-06-03,746382,30,20,1,3,,4,2.05,1.947,0.966,1,1,74.5,-9,1581,85.7,84.08,0,4,2,-1.6000000000000100,5.32,110,152,117,145,292,336,296,-1,1,71.827346667,7.11407
2,518397,"Alexander, Scott",2024-06-11,745404,12,16.7,1,3,,4,2.05,1.359,0.814,1,1,103.9,23,1315,84.4,84.65,1,2,0,0.29999999999999700,6.25,117,153,123,148,300,317,287,-1,1,68.388745,8.161435
3,669620,"Basso, Brady",2024-09-25,745607,54,5.6,1,3,,4,2.05,0.92,0.497,1,1,99.7,32,2086,86.1,86,0,1,2,-0.09999999999999430,6.5,107,149,120,139,299,305,294,-1.7,1.7,76.95661,8.20274
1,623352,"Hader, Josh",2024-05-26,745653,18,5.6,1,3,,4,2.05,1.755,0.929,1,1,105.3,25,1716,90.2,91.1,0,1,0,0.8999999999999920,6.7,111,153,121,149,296,318,293,-1,1,86.64008,7.11653
3,519043,"Moore, Matt",2024-05-17,745016,21,14.3,1,3,,4,2.05,0.145,0.091,1,1,97.9,40,1977,82.6,81.77,0,1,2,-0.7999999999999970,6.13,86,150,118,143,320,333,292,-1.9,1.9,71.7576,7.72792
6,593974,"Peralta, Wandy",2024-06-07,745406,18,33.3,1,3,,4,2.05,0.334,0.26,1,1,95.7,25,2117,89.6,88.53,1,5,1,-1.0999999999999900,5.73,98,150,123,148,302,327,293,-1.5,1.5,69.155958,8.073062
5,642232,"Yarbrough, Ryan",2024-08-07,744903,21,23.8,1,3,,4,2.05,0.561,0.297,1,1,96.9,30,1828,76.7,76.26,0,3,2,-0.4000000000000060,6.36,103,154,124,144,287,315,287,-1,1,75.224926667,7.7889
7,656756,"Montgomery, Jordan",2024-06-05,747195,61,11.5,1,3,,4,2.05,1.79,0.883,1,1,108.4,35,1599,83,83.89,1,2,5,0.9000000000000060,6.79,99,146,121,144,306,310,287,-2.1,2.1,75.537795,8.08442
5,518397,"Alexander, Scott",2024-05-21,745662,18,27.8,1,3,,4,2.05,1.551,0.857,1,1,104.2,25,1295,85.3,85.44,1,4,1,0.10000000000000900,6.34,113,153,117,150,306,318,282,-1,1,69.705136667,8.600046667
4,571578,"Corbin, Patrick",2024-06-05,744852,77,5.2,1,3,,4,2.05,1.913,0.991,1,1,109.3,23,1625,80.3,80.85,0,2,2,0.6000000000000090,6.45,110,152,123,145,319,336,291,-1,1,74.12335,8.280345
10,680730,"Parker, Mitchell",2024-05-14,746799,82,12.2,1,3,,4,2.05,1.502,0.76,1,1,102.6,28,967,85.7,86.43,3,5,5,0.7000000000000030,6.94,110,153,115,145,311,324,284,-2.6,2.6,70.348012,8.347252
4,663947,"Holton, Tyler",2024-04-09,745517,15,26.7,1,3,,4,2.05,1.867,0.949,1,1,105,27,1674,82.8,83.4,1,3,1,0.6000000000000090,6.37,118,153,117,143,322,328,295,-1,1,72.208333333,7.948676667
3,595345,"Okert, Steven",2024-08-13,745867,15,20,1,3,,4,2.05,1.966,0.989,1,1,108.1,26,1864,89.1,89.53,0,1,2,0.4000000000000060,6.43,119,153,125,147,299,335,300,-1,1,76.31819,7.97194
2,608344,"Irvin, Cole",2024-07-27,747006,38,5.3,1,3,,4,2.05,1.952,0.983,1,1,108.7,24,1613,84.8,85.3,0,1,1,0.5,6.5,99,151,124,146,317,326,292,-2.2,2.2,86.85379,8.13066
