savant_data (8)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
5,640448,"Finnegan, Kyle",2024-07-29,747172,28,17.9,1,3,,4,2.05,1.065,0.78,1,1,109.5,18,1102,89,89.8,0,3,2,0.7999999999999970,6.64,89,140,115,149,303,332,313,-1.6,1.6,74.205173333,7.531883333
2,623451,"Stephens, Jackson",2024-05-04,746155,21,9.5,1,3,,4,2.05,0.456,0.257,1,1,98.5,35,1586,85.1,84.25,0,2,0,-0.7000000000000030,5.65,131,149,147,153,292,324,307,-1,1,69.83852,7.27038
1,598264,"Barnes, Matt",2024-04-23,744863,17,5.9,1,3,,4,2.05,2,1,1,1,118.7,25,1557,85.6,86.2,0,1,0,0.6000000000000090,6.6,129,146,128,152,319,328,316,-1,1,81.42722,7.89375
3,676760,"Marinaccio, Ron",2024-04-13,746658,10,30,1,3,,4,2.05,1.511,0.829,1,1,103.7,24,2164,81.2,81.57,0,2,1,0.3999999999999920,6.77,126,149,141,154,287,322,289,-1,1,74.36531,7.662065
5,672710,"Contreras, Roansy",2024-08-23,744889,11,45.5,1,3,,4,2.05,2,1,1,1,109.6,25,2044,89,88.74,0,1,4,-0.29999999999999700,6.28,120,147,118,154,299,325,300,-1.1,1.1,78.58326,8.04375
2,669724,"Hanifee, Brenan",2024-08-01,746442,24,8.3,1,3,,4,2.05,1.609,0.88,1,1,105.6,23,1594,89.5,89.35,0,1,1,-0.20000000000000300,5.95,126,147,145,155,282,334,305,-1,1,72.78953,7.61277
4,641540,"Dunning, Dane",2024-04-12,746408,80,5,1,3,,4,2.05,1.748,0.883,1,1,103.6,30,1916,86,86.58,1,2,2,0.5999999999999940,6.95,107,144,131,153,289,335,294,-0.9,0.9,74.47521,7.96907
6,623167,"Flexen, Chris",2024-04-12,746812,67,9,1,3,,4,2.05,2,1,1,1,110.8,27,1257,80.9,81.1,1,2,4,0.29999999999999700,6.38,128,146,115,151,296,323,297,-2.8,2.8,75.83676,7.677045
2,668873,"Kilian, Caleb",2024-09-23,745527,85,2.4,1,3,,4,2.05,1.803,0.9,1,1,105.7,32,1645,86.8,87.9,0,2,0,1.1000000000000100,6.8,110,148,114,152,288,327,293,-1,1,72.810155,7.453445
2,543339,"Hudson, Daniel",2024-09-20,746094,16,12.5,1,3,,4,2.05,1.657,0.903,1,1,105.1,24,2397,87.7,87.8,0,2,0,0.09999999999999430,6.45,127,147,130,154,290,310,301,-1,1,73.853415,7.520615
2,681869,"Dubin, Shawn",2024-07-11,746367,25,8,1,3,,4,2.05,1.88,0.943,1,1,106,28,1560,89.5,89.5,0,1,1,0.09999999999999430,6.5,123,149,107,153,288,324,302,-1,1,73.07086,7.71675
3,592791,"Taillon, Jameson",2024-05-14,747124,85,3.5,1,3,,4,2.05,1.937,0.974,1,1,108.2,27,1859,86.9,87.43,0,1,2,0.5,6.63,108,145,116,149,300,331,297,-2.6,2.6,74.03868,7.86036
8,686752,"Pepiot, Ryan",2024-05-05,745103,44,18.2,1,3,,4,2.05,1.169,0.669,1,1,102.1,25,2495,86.5,87.11,0,2,6,0.5999999999999940,6.72,95,143,98,149,292,335,304,-1.9,1.9,72.005775,7.7829
