savant_data (7)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,570632,"Ureña, José",2024-07-12,746371,39,5.1,1,3,,4,2.05,0.627,0.329,1,1,98.6,34,1922,89.4,89.3,0,1,1,-0.10000000000000900,6.45,115,154,109,149,283,323,290,-2.4,2.4,72.84042,8.43939
2,640448,"Finnegan, Kyle",2024-06-04,744850,15,13.3,1,3,,4,2.05,2,1,1,1,111.7,25,959,87.1,88.25,0,1,1,1.2000000000000000,6.6,110,152,121,146,314,334,304,-1,1,80.39424,7.39064
4,622491,"Castillo, Luis",2024-05-23,745741,91,4.4,1,3,,4,2.05,1.882,0.931,1,1,110.9,35,1836,89.1,87.67,0,1,3,-1.3999999999999900,5.4,113,153,126,148,317,327,291,-1,1,79.92333,8.25195
1,608717,"Stratton, Chris",2024-08-24,746271,19,5.3,1,3,,4,2.05,1.777,0.886,1,1,104.8,29,1996,85.4,86,0,1,0,0.5999999999999940,6.6,92,107,102,109,314,322,293,-1.4,1.4,76.53686,8.09989
4,593423,"Montas, Frankie",2024-05-17,746148,98,4.1,1,3,,4,2.05,0.8,0.406,1,1,100.6,36,1441,86.9,86.53,0,1,3,-0.4000000000000060,5.85,99,149,121,147,295,315,298,-1.2,1.2,71.67886,7.26891
1,592866,"Williams, Trevor",2024-09-20,746824,66,1.5,1,3,,4,2.05,1.551,0.857,1,1,104.3,25,1781,82.2,83,0,1,0,0.7999999999999970,6.8,117,147,126,146,297,325,292,-1,1,76.533,7.84929
3,806185,"Birdsong, Hayden",2024-07-02,747102,87,3.4,1,3,,4,2.05,2,1,1,1,107.9,23,1332,89.1,89.83,0,1,2,0.7000000000000030,6.67,113,155,132,147,322,345,300,-1.1,1.1,76.18563,7.86256
2,621112,"Blackburn, Paul",2024-08-13,745788,82,2.4,1,3,,4,2.05,1.067,0.574,1,1,99.5,30,1840,86.6,86.8,0,1,1,0.20000000000000300,6.35,102,150,123,149,301,337,305,-2,2,77.42349,7.61074
5,663773,"Hoeing, Bryan",2024-09-26,746088,19,26.3,1,3,,4,2.05,1.958,0.974,1,1,107.8,29,1062,86.6,86.8,2,3,2,0.20000000000000300,6.24,114,154,128,148,300,318,298,-1.7,1.7,71.78714,8.2162
2,689225,"Brieske, Beau",2024-07-19,744911,14,14.3,1,3,,4,2.05,0.058,0.04,1,1,93.3,38,2194,89.4,89,0,2,0,-0.29999999999999700,6.1,87,149,117,146,304,317,295,-1.5,1.5,75.455185,7.88995
2,663554,"Mize, Casey",2024-05-21,746309,52,3.8,1,3,,4,2.05,2,1,1,1,111,25,1170,86.5,87.85,0,1,1,1.3000000000000000,7,107,130,104,124,316,322,290,-2.4,2.4,80.72633,7.35529
4,658648,"Avila, Pedro",2024-03-29,745435,20,20,1,3,,4,2.05,2.015,0.997,1,1,111.7,26,1802,84.2,84.5,0,1,3,0.29999999999999700,6.53,115,144,120,139,300,331,298,-1.5,1.5,,
2,607067,"Rea, Colin",2024-09-11,745285,74,2.7,1,3,,4,2.05,1.658,0.937,1,1,108,22,1061,87.1,87.85,0,1,1,0.7000000000000030,6.75,112,154,130,145,299,320,298,-1,1,76.76134,7.7532
2,680573,"Woods Richardson, Simeon",2024-09-25,745854,36,5.6,1,3,,4,2.05,0.193,0.151,1,1,94.1,27,2360,79.9,80.75,0,1,1,1,6.8,114,148,106,143,304,321,292,-2.1,2.1,70.60869,7.84207
2,663158,"Suarez, Robert",2024-07-05,745398,20,10,1,3,,4,2.05,0.849,0.474,1,1,99.1,27,1899,91.3,92.05,0,1,1,0.7000000000000030,6.85,121,145,124,149,293,327,290,-1.9,1.9,78.65051,7.79193
6,593576,"Neris, Héctor",2024-09-25,746331,19,31.6,1,3,,4,2.05,1.609,0.88,1,1,105.6,23,1124,82.8,82.35,2,4,2,-0.3999999999999920,6.17,111,154,117,148,294,321,287,-1.2,1.2,73.878655,8.8933725
1,687924,"Aguiar, Julian",2024-09-13,745855,86,1.2,1,3,,4,2.05,1.2,0.666,1,1,101,27,1539,85.2,85.1,0,1,0,-0.10000000000000900,6,106,154,132,148,298,331,299,-1,1,72.35224,7.1026
2,676106,"Hancock, Emerson",2024-05-07,745915,76,2.6,1,3,,4,2.05,1.961,0.983,1,1,108.8,26,1874,86.2,87.1,1,2,0,0.8999999999999920,6.95,98,154,122,148,300,328,290,-2.6,2.6,78.038995,8.488565
1,621097,"Waguespack, Jacob",2024-04-05,746576,42,2.4,1,3,,4,2.05,1.821,0.914,1,1,105.5,29,1475,85.8,87.8,0,1,0,2,7,105,150,116,145,308,323,277,-1.3,1.3,73.46506,8.01913
1,641927,"Ober, Bailey",2024-03-31,746332,53,1.9,1,3,,4,2.05,0.744,0.397,1,1,98.7,31,2055,83.1,85.1,0,1,0,2,7.5,115,147,112,147,311,335,305,-2.4,2.4,,
1,571945,"Mikolas, Miles",2024-08-27,745132,93,1.1,1,3,,4,2.05,1.015,0.74,1,1,108.5,19,1441,81.5,82.9,0,1,0,1.4000000000000100,7.2,114,154,131,149,317,320,307,-0.9,0.9,78.18278,7.33395
1,661395,"Duran, Jhoan",2024-05-22,744856,16,6.3,1,3,,4,2.05,0.828,0.414,1,1,101.3,35,1678,95.4,95.3,0,1,0,-0.10000000000000900,6.1,117,153,126,149,305,318,295,-1,1,74.06166,7.42736
5,628452,"Iglesias, Raisel",2024-06-16,747109,22,22.7,1,3,,4,2.05,1.609,0.88,1,1,105.7,23,2091,90.6,90.8,0,4,1,0.20000000000000300,6.26,111,153,117,146,303,327,287,-1.8,1.8,69.2255725,7.40926
3,453286,"Scherzer, Max",2024-07-14,746370,71,4.2,1,3,,4,2.05,1.551,0.857,1,1,104.5,25,1415,83.9,83.93,0,3,0,0,6.5,105,154,117,149,286,324,293,-1.1,1.1,72.541123333,7.547276667
1,680880,"Holman, Grant",2024-08-25,745618,20,5,1,3,,4,2.05,0.468,0.234,1,1,104,42,939,87.4,88.9,0,1,0,1.5,7.1,110,152,121,150,293,322,301,-1,1,73.68339,8.84163
3,689225,"Brieske, Beau",2024-09-28,746414,31,9.7,1,3,,4,2.05,0.773,0.42,1,1,97.8,30,2145,87.4,87.13,0,2,1,-0.30000000000001100,6.07,121,153,124,149,304,335,282,-1.1,1.1,75.85688,8.97649
1,676130,"Buttó, José",2024-07-22,746034,29,3.4,1,3,,4,2.05,1.225,0.646,1,1,101.4,28,1833,86.7,87.1,0,1,0,0.3999999999999920,6.6,118,153,121,152,305,335,290,-1,1,77.24509,7.774
1,543351,"Jackson, Jay",2024-06-20,745889,21,4.8,1,3,,4,2.05,2,1,1,1,111.8,19,1594,84.7,84.6,0,1,0,-0.10000000000000900,6.4,86,152,122,148,290,326,304,-1.7,1.7,76.90068,8.04163
1,519151,"Pressly, Ryan",2024-09-12,746337,20,5,1,3,,4,2.05,1.947,0.966,1,1,109.5,33,2202,87.5,87.4,0,1,0,-0.09999999999999430,6.3,112,155,119,148,296,350,311,-1,1,74.02955,6.58221
1,676272,"Miller, Bobby",2024-08-23,746111,96,1,1,3,,4,2.05,0.273,0.151,1,1,101.3,41,2187,85.7,87.2,0,1,0,1.5,6.9,117,154,127,150,305,310,291,-1.8,1.8,74.58566,8.41937
2,676974,"Meyer, Max",2024-04-01,746085,79,2.5,1,3,,4,2.05,1.698,0.874,1,1,104,27,1887,88.7,87.9,0,2,0,-0.7999999999999970,5.85,114,153,124,147,297,336,297,-1,1,,
1,677161,"Kelly, Zack",2024-08-10,746922,17,5.9,1,3,,4,2.05,2,1,1,1,106.7,36,2337,83.8,85.2,0,1,0,1.4000000000000100,7.3,118,154,128,148,274,319,306,-1,1,78.53764,7.85038
11,592454,"Kahnle, Tommy",2024-06-08,745735,30,36.7,1,3,,4,2.05,1.704,0.857,1,1,104.7,31,1294,87.3,87.55,2,7,4,0.20000000000000300,6.65,104,149,106,148,297,321,283,-2.5,2.5,66.576835714,7.691734286
1,523260,"Kelly, Joe",2024-08-02,745631,12,8.3,1,3,,4,2.05,1.807,0.9,1,1,108.2,34,2062,85.1,84.5,0,1,0,-0.5999999999999940,5.9,115,153,125,151,303,323,283,-1.4,1.4,76.58491,6.58432
1,668909,"Williams, Gavin",2024-08-22,745705,98,1,1,3,,4,2.05,1.732,0.869,1,1,104.6,32,2162,91.6,93.8,0,1,0,2.200000000000000,7.5,113,154,133,149,302,356,297,-1,1,79.28604,7.95147
2,502043,"Gibson, Kyle",2024-08-14,746677,95,2.1,1,3,,4,2.05,1.279,0.683,1,1,102.3,30,1813,84,84.95,0,1,1,1,6.9,115,154,121,147,292,317,293,-1,1,76.48014,6.87007
2,605135,"Bassitt, Chris",2024-07-19,744911,95,2.1,1,3,,4,2.05,0.955,0.497,1,1,100.9,33,1678,84.7,84.85,0,1,1,0.09999999999999430,6.45,97,147,122,145,297,319,291,-1.6,1.6,67.22308,7.66797
2,595881,"Beede, Tyler",2024-04-16,746976,20,10,1,3,,4,2.05,0.651,0.317,1,1,102.9,39,1421,87,87.35,1,2,0,0.29999999999999700,6.45,88,149,110,144,281,317,300,-1.6,1.6,76.212025,7.946385
2,640451,"Harvey, Hunter",2024-07-01,744840,24,8.3,1,3,,4,2.05,1.966,0.989,1,1,107.6,26,1134,89.2,89.8,1,2,0,0.5999999999999940,6.5,115,135,119,143,306,325,293,-2.1,2.1,72.827715,8.91942
2,450203,"Morton, Charlie",2024-07-26,745792,60,3.3,1,3,,4,2.05,1.704,0.857,1,1,104.6,31,2082,83.2,82.85,0,2,0,-0.4000000000000060,6.35,114,154,126,149,304,320,290,-0.9,0.9,76.37131,7.78745
