pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
3,592767,"Smyly, Drew",2024-04-17,747212,11,27.3,1,3,,4,2.05,0.724,0.371,1,1,104.6,40,2277,79.9,79.27,0,1,2,-0.6000000000000090,5.8,130,149,107,154,282,326,315,-1,1,74.78979,8.2735
3,672282,"Detmers, Reid",2024-05-04,746644,95,3.2,1,3,,4,2.05,1.475,0.743,1,1,103.5,34,2581,76.3,75.53,0,1,2,-0.7999999999999970,5.93,118,149,126,155,291,328,304,-3.4,3.4,71.33825,7.59347
4,621389,"Blach, Ty",2024-06-20,746539,76,5.3,1,3,,4,2.05,1.945,0.971,1,1,106.7,27,2415,80.3,79.47,0,2,2,-0.7999999999999970,5.22,115,148,130,154,303,342,312,-1.2,1.2,72.716785,7.441115
3,500779,"Quintana, Jose",2024-04-22,745351,91,3.3,1,3,,4,2.05,1.441,0.8,1,1,102.7,25,2222,77.7,77.83,0,2,1,0.09999999999999430,6.4,126,148,119,152,291,316,299,-1,1,72.035,7.504965
3,666205,"Muller, Kyle",2024-04-07,746493,32,9.4,1,3,,4,2.05,0.925,0.463,1,1,102.9,37,2117,76.9,76.03,0,1,2,-0.9000000000000060,6.23,107,147,113,154,288,315,288,-1,1,75.04213,7.32553
1,477132,"Kershaw, Clayton",2024-08-30,747156,27,3.7,1,3,,4,2.05,1.842,0.926,1,1,106,31,2022,67.4,67.1,0,1,0,-0.30000000000001100,6,105,150,85,154,287,320,303,-1,1,74.85549,7.3611
1,690544,"Horn, Bailey",2024-08-18,746999,29,3.4,1,3,,4,2.05,1.249,0.769,1,1,103.4,23,3070,78.5,78.1,0,1,0,-0.4000000000000060,6.2,86,140,134,142,288,329,301,-1.7,1.7,79.07269,7.21928
6,573009,"Mantiply, Joe",2024-07-28,747173,12,50,1,3,,4,2.05,1.485,0.723,1,1,109.2,39,2513,78.7,78.85,0,3,3,0.30000000000001100,6.45,106,147,113,149,287,309,297,-1,1,37.38789,4.95038
4,672282,"Detmers, Reid",2024-06-01,745251,90,4.4,1,3,,4,2.05,0.431,0.289,1,1,95.5,27,2360,76.4,75.83,1,2,2,-0.6000000000000090,5.95,104,146,106,148,284,319,297,-3.2,3.2,70.32356,7.247265
3,669674,"Long, Sam",2024-09-01,746347,15,20,1,3,,4,2.05,1.947,0.966,1,1,105.6,27,2630,78.1,77.17,0,1,2,-0.8999999999999920,5.9,130,148,125,154,291,333,309,-1.1,1.1,71.80161,6.5839
