pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,571760,"Heaney, Andrew",2024-06-08,745001,83,2.4,1,3,,4,2.05,1.961,0.983,1,1,109.2,26,2539,76.1,75.8,0,1,1,-0.20000000000000300,6.35,96,151,101,142,296,325,301,-1.7,1.7,78.65381,7.62809
12,663559,"Falter, Bailey",2024-04-17,745836,73,16.4,1,3,,4,2.05,1.41,0.72,1,1,103.6,33,1871,76.7,78.19,0,2,10,1.5,7.25,100,147,113,144,299,331,287,-1.8,1.8,65.739075,6.965075
2,669373,"Skubal, Tarik",2024-09-12,746427,84,2.4,1,3,,4,2.05,1.515,0.757,1,1,104.3,32,2274,78.8,79.3,0,1,1,0.5,6.45,120,154,124,147,313,337,285,-1,1,73.57023,7.85879
8,671096,"Abbott, Andrew",2024-06-21,746698,90,8.9,1,3,,4,2.05,0.601,0.417,1,1,98,25,2822,80.9,81.6,1,2,6,0.6999999999999890,6.49,119,150,117,149,301,320,283,-1.1,1.1,74.53728,8.566245
3,666129,"Garrett, Braxton",2024-05-12,746068,80,3.8,1,3,,4,2.05,1.247,0.623,1,1,103,33,2249,77.9,77.83,0,2,1,-0.10000000000000900,6.43,106,150,117,144,301,316,284,-2.3,2.3,66.29203,6.69773
3,608344,"Irvin, Cole",2024-09-09,746909,19,15.8,1,3,,4,2.05,1.945,0.969,1,1,107.3,26,2201,76.9,76.37,0,2,1,-0.5,5.87,111,153,126,148,280,320,322,-1,1,75.29774,8.178375
4,500779,"Quintana, Jose",2024-08-20,745782,90,4.4,1,3,,4,2.05,0.851,0.409,1,1,101.2,34,2213,76.5,76.3,0,1,3,-0.20000000000000300,6.4,97,143,119,138,301,328,295,-2,2,73.70874,7.75971
3,519293,"Smith, Will",2024-08-13,745867,17,17.6,1,3,,4,2.05,1.515,0.757,1,1,103.7,32,2189,75.3,74.43,0,2,1,-0.8999999999999920,5.8,115,149,121,148,312,317,292,-1.6,1.6,72.601465,7.515625
6,596295,"Gomber, Austin",2024-04-16,745593,89,6.7,1,3,,4,2.05,1.2,0.666,1,1,101.1,27,2551,75.8,75.9,0,4,2,0.10000000000000900,6.7,105,152,126,148,301,327,283,-1.9,1.9,55.298335,6.4101225
4,674072,"Henry, Tommy",2024-06-09,745407,46,8.7,1,3,,4,2.05,1.517,0.811,1,1,102.5,26,2328,78.9,79.45,1,3,1,0.5999999999999940,6.67,108,148,120,143,299,297,285,-0.9,0.9,72.026633333,6.637066667
1,448179,"Hill, Rich",2024-09-01,746426,25,4,1,3,,4,2.05,1.06,0.617,1,1,101.1,26,2688,72.6,72.1,0,1,0,-0.5,6.3,86,148,119,145,294,323,296,-1.6,1.6,75.56081,7.99314
1,663893,"Little, Brendon",2024-08-16,746843,10,10,1,3,,4,2.05,2,1,1,1,106,33,2011,86.7,86,0,1,0,-0.7000000000000030,5.7,118,152,122,150,299,320,294,-1,1,77.03672,7.0936
3,573204,"Thielbar, Caleb",2024-06-04,745739,16,18.8,1,3,,4,2.05,1.947,0.966,1,1,110.4,33,2461,75.5,75.6,1,2,1,0.09999999999999430,6.5,97,153,126,149,299,331,291,-1.9,1.9,82.231685,9.15635
6,579328,"Kikuchi, Yusei",2024-07-14,747176,86,7,1,3,,4,2.05,2,1,1,1,109.8,28,2431,81.5,82.43,0,1,5,0.9000000000000060,6.8,109,150,122,145,305,325,292,-2.9,2.9,,
1,650893,"Cabrera, Génesis",2024-09-13,744882,23,4.3,1,3,,4,2.05,1.582,0.803,1,1,102.6,29,2356,79.3,78.5,0,1,0,-0.7999999999999970,6,115,153,125,149,297,317,283,-1,1,76.05349,7.76001
11,607074,"Rodón, Carlos",2024-08-03,745714,106,10.4,1,3,,4,2.05,1.777,0.886,1,1,104.7,29,2733,81.1,80.57,1,2,9,-0.5,5.84,112,153,120,150,299,331,277,-1,1,80.41983,8.40413
6,571578,"Corbin, Patrick",2024-08-05,744821,90,6.7,1,3,,4,2.05,1.723,0.854,1,1,107.9,36,1992,70.6,71.02,1,2,4,0.4000000000000060,6.48,103,151,122,146,308,325,296,-2.4,2.4,74.18343,8.700265
3,592767,"Smyly, Drew",2024-09-09,746101,20,15,1,3,,4,2.05,0.744,0.397,1,1,98.5,31,2394,78.6,78.07,0,1,2,-0.5,5.53,117,150,122,149,303,320,289,-1.3,1.3,72.38423,7.26194
7,624133,"Suárez, Ranger",2024-03-31,745602,83,8.4,1,2,1,3,1.652,0.29,0.247,2,2,95.9,16.5,2210,76.1,76.07,0,2,5,0,6.43,113,153,119,148,301,325,286,-2.5,2.5,,
9,668868,"Thompson, Zack",2024-03-29,746167,87,10.3,1,2,1,3,1.652,0.443,0.378,2,2,95.8,20.5,2711,73.6,74.18,1,4,5,0.6000000000000090,6.98,111,152,122,145,312,319,299,-3,3,,
11,579328,"Kikuchi, Yusei",2024-06-17,744918,79,13.9,1,1.5,1,2.5,1.466,1.418,0.914,2,2,107.8,22,2607,81.5,82.43,0,3,8,0.9000000000000060,6.84,110,153,116,146,296,320,294,-1.3,1.3,74.05768,7.659766667
15,656756,"Montgomery, Jordan",2024-07-29,747172,78,19.2,1,1.5,1,2.5,1.466,0.517,0.477,2,2,95.7,19,2229,79,79.67,1,3,12,0.7000000000000030,6.61,106,147,121,143,310,311,290,-2.9,2.9,70.397456667,8.037006667
8,672282,"Detmers, Reid",2024-05-20,746390,79,10.1,1,1.5,1,2.5,1.466,0.38,0.243,2,2,80.1,-6.5,2419,74.7,73.25,0,3,5,-1.4000000000000100,5.55,104,150,107,149,289,326,282,-1.8,1.8,69.184326667,8.46876
