savant_data (5)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1,673929,"Leasure, Jordan",2024-07-10,746772,10,10,1,3,,4,2.05,0.955,0.497,1,1,101.1,33,2848,77.6,78,0,1,0,0.4000000000000060,6.7,129,148,127,154,299,314,298,-1,1,83.41874,7.70946
6,601713,"Pivetta, Nick",2024-08-20,746349,84,7.1,1,3,,4,2.05,1.117,0.769,1,1,106.5,20,2819,80.1,79.88,0,1,5,-0.09999999999999430,6.48,112,145,127,149,290,326,285,-2.2,2.2,77.57205,7.84777
3,605347,"López, Jorge",2024-05-24,745822,22,13.6,1,3,,4,2.05,0.974,0.506,1,1,104,37,2588,83.5,83.4,0,2,1,-0.09999999999999430,6.17,125,146,127,154,300,318,309,-1,1,73.500535,7.639625
3,672578,"Hernández, Carlos",2024-09-21,746255,20,15,1,3,,4,2.05,0.925,0.463,1,1,103,37,2529,82.5,83.6,1,2,1,1.0999999999999900,6.77,119,148,103,153,290,321,299,-2.8,2.8,72.91046,7.9259
1,661395,"Duran, Jhoan",2024-05-19,746636,13,7.7,1,3,,4,2.05,0.33,0.166,1,1,96.8,36,2526,83.6,83.6,0,1,0,0,5.9,121,148,113,154,300,305,289,-2.7,2.7,69.73415,7.35176
10,593334,"Germán, Domingo",2024-09-04,746835,57,17.5,1,3,,4,2.05,1.743,0.877,1,1,104,29,2702,81.6,81.19,0,3,7,-0.3999999999999920,5.86,106,141,106,148,297,325,306,-1,1,69.553606667,7.109186667
6,605130,"Barlow, Scott",2024-08-05,746600,15,40,1,3,,4,2.05,1.966,0.989,1,1,107.6,26,2504,76.9,77.3,0,1,5,0.3999999999999920,6.83,120,147,109,142,297,305,291,-1.6,1.6,75.73365,7.227
6,571945,"Mikolas, Miles",2024-07-14,745151,72,8.3,1,3,,4,2.05,1.502,0.76,1,1,103.1,28,2536,77.3,77.37,0,2,4,0.10000000000000900,6.27,128,146,109,151,304,313,311,-1,1,68.411075,7.64863
2,607067,"Rea, Colin",2024-06-21,745403,69,2.9,1,3,,4,2.05,0.603,0.334,1,1,98.5,31,2092,78.7,78.75,0,1,1,0.09999999999999430,6.5,124,149,137,152,294,328,306,-1,1,70.66463,7.6217
2,621107,"Eflin, Zach",2024-07-29,747007,98,2,1,3,,4,2.05,1.951,0.963,1,1,106.8,31,2446,77.7,78.05,0,1,1,0.29999999999999700,6.35,119,146,106,149,300,326,295,-2.3,2.3,79.35668,8.18802
3,669060,"Wilson, Bryse",2024-04-06,746006,36,8.3,1,3,,4,2.05,1.911,0.94,1,1,106.6,29,2471,80.8,81,0,2,1,0.20000000000000300,6.63,112,145,111,151,301,320,306,-1,1,73.03072,7.73264
1,502043,"Gibson, Kyle",2024-04-07,745198,94,1.1,1,3,,4,2.05,1.817,0.894,1,1,106.1,30,2320,78.4,80.1,0,1,0,1.6999999999999900,7.4,87,145,112,151,299,323,308,-2.7,2.7,72.343,8.06094
2,665620,"García, Deivi",2024-04-21,745588,25,8,1,3,,4,2.05,1.999,0.989,1,1,109.4,30,2740,77.3,76.55,0,1,1,-0.7999999999999970,5.95,105,144,104,152,298,326,299,-1.1,1.1,78.13247,7.91649
12,641154,"López, Pablo",2024-06-12,745896,91,13.2,1,3,,4,2.05,1.842,0.926,1,1,106.4,31,2637,80,81.31,3,7,5,1.3000000000000000,7.08,119,146,119,154,287,325,302,-1,1,70.811057143,7.763941429
14,650644,"Civale, Aaron",2024-07-21,745882,87,16.1,1,3,,4,2.05,0.335,0.18,1,1,102.4,41,3109,76.3,75,1,5,9,-1.3000000000000000,5.65,114,146,124,150,304,329,299,-1.6,1.6,71.764182,7.72183
