pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
3,669060,"Wilson, Bryse",2024-07-09,745968,18,16.7,1,3,,4,2.05,0.984,0.697,1,1,104.3,21,2357,80.8,81.3,1,2,1,0.5,6.7,102,145,101,141,297,311,294,-2.2,2.2,75.180615,7.81348
1,663554,"Mize, Casey",2024-05-15,746472,90,1.1,1,3,,4,2.05,1.855,0.957,1,1,106.5,25,1908,79.4,80.6,0,1,0,1.1999999999999900,6.9,88,146,117,139,317,337,286,-1.6,1.6,,
15,621107,"Eflin, Zach",2024-05-13,746961,91,16.5,1,3,,4,2.05,1.967,0.986,1,1,108.7,25,2551,78.6,78.83,3,7,8,0.20000000000000300,6.48,100,154,125,146,274,315,299,-2.6,2.6,64.743824286,7.968232857
4,683003,"Jones, Jared",2024-09-02,746833,87,4.6,1,3,,4,2.05,0.423,0.317,1,1,98.3,23,2660,81.4,81.88,0,2,2,0.5,6.5,112,154,122,148,302,322,302,-1.1,1.1,67.08599,7.39848
2,669060,"Wilson, Bryse",2024-08-08,747081,43,4.7,1,3,,4,2.05,2,1,1,1,108,32,2254,79.5,79.9,0,1,1,0.4000000000000060,6.5,119,154,130,148,318,323,297,-1,1,77.82487,8.05873
5,665795,"Cabrera, Edward",2024-07-13,746687,63,7.9,1,3,,4,2.05,2,1,1,1,106.4,26,2572,84.4,84.9,1,2,3,0.5,6.46,119,152,122,148,303,333,297,-1.1,1.1,70.820285,8.410915
1,571882,"Law, Derek",2024-07-07,744832,31,3.2,1,3,,4,2.05,1.913,0.991,1,1,108.9,23,,75.2,75.5,0,1,0,0.29999999999999700,6.3,87,144,118,140,314,332,298,-1.5,1.5,77.4564,7.96658
2,670280,"Bednar, David",2024-09-18,745121,15,13.3,1,3,,4,2.05,0.676,0.446,1,1,98,26,2305,75.3,74.95,0,1,1,-0.29999999999999700,5.95,113,153,109,151,313,328,303,-1,1,65.67136,7.44755
1,518876,"Kelly, Merrill",2024-03-29,747223,79,1.3,1,3,,4,2.05,1.551,0.857,1,1,104.4,25,2528,82.1,81.7,0,1,0,-0.3999999999999920,5.9,118,155,126,150,304,313,288,-1,1,,
8,681190,"Vásquez, Randy",2024-08-02,745387,85,9.4,1,3,,4,2.05,1.437,0.883,1,1,107.8,21,3147,81.2,80.85,1,3,5,-0.4000000000000060,6.22,106,149,117,149,298,320,297,-1.1,1.1,54.588833333,6.894273333
2,608334,"Fulmer, Carson",2024-07-08,746208,59,3.4,1,3,,4,2.05,1.307,0.654,1,1,103.5,32,2669,83.5,83.5,0,1,1,0,6.3,112,149,120,148,311,324,299,-1.6,1.6,73.73519,7.79684
