savant_data (11)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,607455,"Banda, Anthony",2024-08-11,746114,16,12.5,1,3,,4,2.05,1.649,0.831,1,1,105,33,2151,96.5,96.65,0,1,1,0.20000000000000300,6.2,100,153,123,146,308,324,294,-1.6,1.6,78.29767,7.97671
10,573124,"Rogers, Taylor",2024-08-14,745301,27,37,1,3,,4,2.05,1.87,0.94,1,1,106.2,26,2062,92.8,91.92,0,4,6,-0.8999999999999920,5.71,105,153,124,147,304,323,293,-1.8,1.8,70.6082,6.8755675
9,669062,"Miller, Erik",2024-05-10,745340,32,28.1,1,3,,4,2.05,1.41,0.72,1,1,103.6,33,2262,97.9,98.13,1,4,5,0.19999999999998900,6.58,106,153,129,148,294,314,292,-1.1,1.1,58.365065,6.0293775
4,673513,"Matsui, Yuki",2024-08-24,745377,18,22.2,1,3,,4,2.05,1.538,0.9,1,1,108.9,21,2507,92.2,91,0,2,2,-1.2000000000000000,5.8,124,154,127,148,311,330,302,-0.9,0.9,77.40705,7.995125
2,543056,"Coulombe, Danny",2024-04-11,746977,15,13.3,1,3,,4,2.05,1.368,0.66,1,1,104.4,35,2471,88.8,88.55,0,1,1,-0.20000000000000300,5.95,119,153,123,148,283,320,290,-1,1,73.46079,8.09092
6,650893,"Cabrera, Génesis",2024-05-22,744933,25,24,1,3,,4,2.05,1.843,0.937,1,1,106.2,25,2276,95.3,94.35,1,2,4,-1,5.85,114,153,126,149,293,308,288,-0.9,0.9,69.62043,6.1815
4,669211,"Akin, Keegan",2024-05-02,747044,21,19,1,3,,4,2.05,1.113,0.577,1,1,100.9,31,2420,93.7,92.67,0,1,3,-1,6,119,153,128,148,318,326,269,-1,1,73.74681,7.43259
2,518617,"Diekman, Jake",2024-07-05,745479,10,20,1,3,,4,2.05,1.273,0.851,1,1,107.4,21,2243,95.3,95.05,1,2,0,-0.29999999999999700,6.35,90,124,89,116,308,311,278,-2.1,2.1,70.34567,5.81756
6,657649,"Koenig, Jared",2024-05-15,745992,14,42.9,1,3,,4,2.05,1.777,0.886,1,1,105.1,29,2360,94.3,93.98,1,3,3,-0.29999999999999700,6.25,117,154,122,146,315,310,296,-0.9,0.9,74.168396667,7.08316
11,664076,"Cleavinger, Garrett",2024-08-30,745052,29,37.9,1,3,,4,2.05,1.249,0.769,1,1,103.1,23,2298,95.9,95.21,2,5,6,-0.7000000000000030,6.08,92,151,116,144,309,324,292,-0.8,0.8,65.436286,6.657206
2,623352,"Hader, Josh",2024-09-08,746345,24,8.3,1,3,,4,2.05,2.009,0.997,1,1,111,25,2439,96,96.2,1,2,0,0.20000000000000300,6.75,,,,,,,,-1,1,73.90006,7.349215
2,656641,"Latz, Jacob",2024-06-24,745974,21,9.5,1,3,,4,2.05,1.777,0.886,1,1,105.4,29,2397,96.2,96.6,0,1,1,0.3999999999999920,6.6,114,146,112,138,298,322,301,-2.2,2.2,71.5622,8.08569
7,694363,"Shuster, Jared",2024-07-24,744989,35,20,1,3,,4,2.05,1.88,0.943,1,1,106.4,28,2197,93.4,93.14,0,3,4,-0.30000000000001100,6.29,105,151,113,143,305,325,288,-0.7,0.7,73.081036667,7.04578
2,605177,"Chafin, Andrew",2024-08-11,745711,10,20,1,3,,4,2.05,1.647,0.809,1,1,108.4,37,2172,91.7,91.75,0,1,1,0.09999999999999430,6.5,120,155,128,147,304,346,295,-0.9,0.9,81.11547,8.12494
5,669276,"Lee, Dylan",2024-06-02,747110,17,29.4,1,3,,4,2.05,2,1,1,1,106.2,33,2312,92.6,92.84,0,1,4,0.20000000000000300,6.4,109,154,117,147,307,318,291,-1,1,74.20329,7.86523
2,519008,"McFarland, T.J.",2024-06-06,745657,16,12.5,1,3,,4,2.05,1.149,0.574,1,1,103.1,34,1958,87.8,86.4,0,1,1,-1.3999999999999900,5.25,114,153,126,148,299,319,288,-1,1,72.17771,7.27045
6,666214,"Wentz, Joey",2024-07-30,746441,14,42.9,1,3,,4,2.05,1.551,0.857,1,1,103.8,25,2317,91.1,91.68,0,1,5,0.6000000000000090,6.33,112,150,105,150,292,329,294,-1.1,1.1,73.97974,7.66811
7,656222,"Beeks, Jalen",2024-05-23,745660,16,43.8,1,3,,4,2.05,1.755,0.929,1,1,104.9,25,2169,93.1,93.47,0,4,3,0.4000000000000060,6.49,103,150,103,145,299,325,290,-0.9,0.9,70.997285,6.71751
