savant_data (13)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
8,681676,"Fernandez, Ryan",2024-05-19,745179,30,26.7,1,3,,4,2.05,1.56,0.769,1,1,106.8,37,2105,94.7,95.67,0,4,4,1,6.78,99,147,126,154,300,321,307,-1.9,1.9,74.314835,7.3911525
4,608723,"Voth, Austin",2024-05-24,744853,20,20,1,3,,4,2.05,0.744,0.397,1,1,99.4,31,2364,89.2,89.27,1,3,1,0.09999999999999430,6.28,126,147,129,151,292,315,302,-1,1,70.63275,7.698956667
6,606965,"Devenski, Chris",2024-06-21,745483,28,21.4,1,3,,4,2.05,2,1,1,1,107.3,29,2428,93.5,92.88,0,2,4,-0.5999999999999940,6.1,121,147,132,153,289,325,302,-1,1,74.804005,7.475185
5,659275,"Lamet, Dinelson",2024-04-05,746897,29,17.2,1,3,,4,2.05,1.909,0.94,1,1,109,34,2388,94.1,93.52,1,3,2,-0.5999999999999940,5.96,127,147,127,154,282,322,311,-1,1,70.009373333,6.87625
2,668674,"Erceg, Lucas",2024-05-18,746308,16,12.5,1,3,,4,2.05,1.582,0.803,1,1,102.7,29,2106,97.7,98.1,0,2,0,0.3999999999999920,6.65,124,146,107,154,300,328,300,-1,1,70.36632,6.98532
1,606965,"Devenski, Chris",2024-06-20,745889,11,9.1,1,3,,4,2.05,0.663,0.326,1,1,106.3,43,2399,91.6,90.8,0,1,0,-0.7999999999999970,6.1,123,147,100,153,294,329,296,-1,1,76.4111,7.71927
1,683769,"Gaddis, Hunter",2024-07-29,746444,22,4.5,1,3,,4,2.05,1.067,0.574,1,1,100.1,30,2274,92.7,93.8,0,1,0,1.0999999999999900,6.8,88,144,104,151,305,332,296,-1.6,1.6,78.67511,7.32301
1,669199,"Bachar, Lake",2024-09-21,746012,20,5,1,3,,4,2.05,1.657,0.903,1,1,105.2,24,2708,93.8,92.8,0,1,0,-1,5.9,86,140,119,149,299,331,301,-1.5,1.5,74.31483,7.08064
4,672710,"Contreras, Roansy",2024-08-23,744889,11,36.4,1,3,,4,2.05,1.743,0.877,1,1,104.4,29,2309,93.9,93.53,0,3,1,-0.4000000000000060,6.25,121,147,108,155,300,328,300,-0.9,0.9,81.37419,8.26189
5,605463,"Scott, Tayler",2024-09-16,745367,16,31.3,1,3,,4,2.05,1.551,0.857,1,1,103.8,25,2058,91.9,90.44,0,1,4,-1.5,5.88,111,146,94,150,277,320,304,-1,1,72.78621,7.01959
8,657024,"Swanson, Erik",2024-09-22,745036,20,40,1,3,,4,2.05,1.646,0.846,1,1,104.3,31,2323,94.8,95.19,1,3,5,0.4000000000000060,6.76,123,147,131,155,281,332,308,-1,1,70.57491,6.150413333
10,518886,"Kimbrel, Craig",2024-04-28,747045,14,71.4,1,3,,4,2.05,1.247,0.623,1,1,103.2,33,2407,94.8,95.24,0,4,6,0.4000000000000060,6.85,89,134,113,152,300,330,314,-1.6,1.6,71.8365775,7.3225025
1,656234,"Bird, Jake",2024-05-13,745420,17,5.9,1,3,,4,2.05,1.732,0.869,1,1,104.9,32,2411,91.1,90.6,0,1,0,-0.5,6,124,147,103,153,288,327,307,-1,1,75.06002,8.18283
4,641401,"Brogdon, Connor",2024-04-09,745924,21,19,1,3,,4,2.05,0.986,0.486,1,1,105.9,40,2380,89.8,90.75,0,1,3,1,7.05,128,148,132,154,289,323,296,-1,1,75.31885,8.09914
4,681982,"Anderson, Grant",2024-04-08,745034,23,17.4,1,3,,4,2.05,0.641,0.331,1,1,105.2,41,2312,92.2,92.18,2,3,1,0,6.32,125,142,123,150,305,332,304,-2.3,2.3,60.737373333,6.30385
5,665620,"García, Deivi",2024-04-07,746330,25,20,1,3,,4,2.05,0.955,0.497,1,1,100.9,33,2407,95.8,95.56,2,3,2,-0.20000000000000300,6.52,94,141,119,145,309,327,314,-1.4,1.4,74.409956667,7.249056667
5,695243,"Miller, Mason",2024-09-28,745203,17,29.4,1,3,,4,2.05,1.522,0.926,1,1,109.8,20,2585,101,101.4,1,4,1,0.4000000000000060,6.68,111,141,111,152,308,327,305,-1.6,1.6,74.68916,7.2615
2,518886,"Kimbrel, Craig",2024-05-08,744858,19,10.5,1,3,,4,2.05,1.582,0.803,1,1,103,29,2248,94.6,95.95,0,1,1,1.4000000000000100,6.9,127,146,126,154,290,319,307,-1,1,70.38437,6.98325
10,642216,"Winans, Allan",2024-07-24,747091,65,15.4,1,3,,4,2.05,1.657,0.903,1,1,105.3,24,2170,88.6,89.62,1,6,4,1,6.7,112,146,131,152,299,319,294,-1.7,1.7,68.14533,6.764806
5,595014,"Treinen, Blake",2024-07-30,745389,18,27.8,1,3,,4,2.05,0.985,0.509,1,1,102.5,34,2409,93.3,92.24,0,3,2,-1.0999999999999900,5.68,127,148,114,154,281,321,297,-0.9,0.9,70.738563333,7.145943333
4,606303,"Payamps, Joel",2024-07-09,745968,19,21.1,1,3,,4,2.05,1.418,0.702,2,2,104.9,33,2511,95.7,96.05,1,4,0,0.29999999999999700,6.4,105,150,130,152,299,315,286,-2.9,2.9,76.0112,7.41003
4,606965,"Devenski, Chris",2024-04-19,745758,32,12.5,1,3,,4,2.05,2.016,0.997,1,1,110.9,29,2346,93.3,92.85,0,2,2,-0.5,6.28,114,141,96,148,297,317,295,-2.2,2.2,75.48804,7.393415
1,670950,"Richards, Trevor",2024-04-29,744945,14,7.1,1,3,,4,2.05,1.692,0.863,1,1,103.5,28,2267,92.2,91.5,0,1,0,-0.7000000000000030,6.1,125,148,92,152,279,315,290,-1,1,76.06065,7.21315
6,554340,"García, Yimi",2024-08-04,745222,23,26.1,1,3,,4,2.05,1.387,0.723,1,1,101.6,28,2504,94.9,94.15,0,3,3,-0.8000000000000110,5.58,121,148,124,154,278,312,290,-1,1,66.741006667,7.250966667
1,671345,"Foley, Jason",2024-06-25,746454,10,10,1,3,,4,2.05,0.449,0.28,1,1,97.3,28,2176,96.5,97.3,0,1,0,0.7999999999999970,6.5,126,149,145,155,283,341,308,-1.1,1.1,70.99288,6.13132
5,489446,"Yates, Kirby",2024-08-29,746748,21,23.8,1,3,,4,2.05,1.293,0.683,1,1,102,31,2352,93.6,93.48,1,3,2,-0.09999999999999430,6.14,127,150,124,155,282,322,298,-1,1,67.2157,6.854893333
6,656546,"Hoffman, Jeff",2024-09-28,744799,26,23.1,1,3,,4,2.05,0.151,0.091,1,1,99,41,2592,96.4,96.48,3,4,2,0.09999999999999430,6.52,105,145,109,149,289,311,290,-2.5,2.5,71.3324675,7.074815
12,543294,"Hendricks, Kyle",2024-06-30,745971,68,17.6,1,3,,4,2.05,1.371,0.849,1,1,107.8,20,2031,87.3,86.42,0,4,8,-0.8999999999999920,5.71,117,148,101,154,296,324,300,-3.1,3.1,72.31454,6.8532375
3,683769,"Gaddis, Hunter",2024-08-25,746595,23,13,1,3,,4,2.05,1.656,0.877,1,1,104,26,2281,94.9,95.87,0,2,1,1,6.83,124,149,123,152,292,322,307,-1,1,67.910575,6.622865
2,472610,"García, Luis",2024-08-05,746276,16,12.5,1,3,,4,2.05,0.959,0.603,1,1,101.4,24,2302,93.4,94.15,0,2,0,0.7999999999999970,6.7,127,150,96,153,291,321,311,-1,1,66.76791,7.707875
6,613534,"Adams, Austin",2024-07-13,745549,17,35.3,1,3,,4,2.05,1.213,0.643,1,1,101,29,2619,92.4,91.62,0,1,5,-0.7000000000000030,5.77,130,147,109,154,286,330,292,-1,1,84.14746,6.8417
3,541640,"Ramírez, Erasmo",2024-05-21,745090,11,27.3,1,3,,4,2.05,1.762,0.934,1,1,105.8,24,2360,90.4,89.8,0,1,2,-0.6000000000000090,6.2,119,147,86,154,287,325,299,-1,1,74.61748,9.21998
3,643493,"Pruitt, Austin",2024-04-17,746487,13,23.1,1,3,,4,2.05,1.944,0.966,1,1,108.7,31,2197,91.1,90.17,0,1,2,-0.8999999999999920,5.57,129,149,105,154,293,333,295,-1,1,76.41129,7.67357
3,669713,"Wesneski, Hayden",2024-05-23,746874,20,15,1,3,,4,2.05,1.93,0.954,1,1,109,33,2100,90,91.5,0,2,1,1.5,7,129,149,132,155,294,330,299,-0.9,0.9,76.8462,7.767435
5,622554,"Domínguez, Seranthony",2024-07-14,745551,29,17.2,1,3,,4,2.05,1.099,0.557,2,2,101.1,32.5,2382,98.2,98.58,0,3,2,0.3999999999999920,6.56,118,146,132,152,288,329,300,-2.4,2.4,74.141283333,7.128146667
1,542888,"Armstrong, Shawn",2024-05-10,745094,17,5.9,1,3,,4,2.05,1.41,0.72,1,1,103.8,33,2572,89.4,89.8,0,1,0,0.3999999999999920,6.5,122,148,92,154,283,328,303,-1,1,77.34203,7.17352
1,445926,"Chavez, Jesse",2024-08-15,745298,32,3.1,1,3,,4,2.05,1.261,0.7,1,1,102.1,26,2161,87.8,87.6,0,1,0,-0.20000000000000300,6.1,129,149,108,153,297,320,303,-1,1,76.17371,7.64758
3,641941,"Pagán, Emilio",2024-05-05,746719,11,27.3,1,3,,4,2.05,1.359,0.814,1,1,104,23,2642,95.7,96.37,1,2,1,0.7000000000000030,6.7,130,144,139,153,292,317,291,-3.3,3.3,71.952645,6.815735
