savant_data (14)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
3,543518,"McGough, Scott",2024-06-09,745407,13,23.1,1,3,,4,2.05,1.843,0.974,1,1,109.9,22,2431,92.9,91.67,0,1,2,-1.2000000000000000,5.83,118,153,127,147,319,308,290,-1,1,78.02532,7.7951
5,675627,"Grove, Michael",2024-09-07,746099,17,29.4,1,3,,4,2.05,1.044,0.743,1,1,105.9,20,2319,95.7,96.94,0,3,2,1.2000000000000000,6.88,110,153,126,147,299,311,282,-1.6,1.6,65.667306667,6.585346667
4,621242,"Díaz, Edwin",2024-04-29,745832,19,21.1,1,3,,4,2.05,1.821,0.9,1,1,108.9,35,2228,97.4,99.28,0,2,2,1.8999999999999900,7.45,118,153,116,150,295,312,293,-1.6,1.6,75.237845,7.64247
2,693312,"Nicolas, Kyle",2024-05-31,744928,12,16.7,1,3,,4,2.05,1.261,0.669,1,1,102.2,29,2445,97.1,97.85,0,1,1,0.7999999999999970,7.1,97,141,96,141,287,319,266,-1.7,1.7,,
6,669060,"Wilson, Bryse",2024-08-16,745949,21,28.6,1,3,,4,2.05,1.502,0.76,1,1,102.5,28,1957,92.3,92.78,1,3,3,0.5,6.47,112,155,129,148,310,323,298,-1,1,73.20012,7.16438
3,686826,"Jarvis, Bryce",2024-04-27,745266,14,21.4,1,3,,4,2.05,1.972,0.986,1,1,108.8,27,2357,92.6,91.73,0,1,2,-0.8999999999999920,5.8,96,149,120,142,304,322,288,-1.4,1.4,75.54269,8.03566
3,606965,"Devenski, Chris",2024-06-07,745083,31,9.7,1,3,,4,2.05,1.2,0.666,1,1,101,27,2311,90.7,89.97,0,3,0,-0.7000000000000030,6.07,96,120,107,115,308,332,305,-1.3,1.3,73.62616,6.981
4,656412,"Faedo, Alex",2024-04-21,745920,23,17.4,1,3,,4,2.05,0.442,0.323,1,1,97.3,24,2391,94.5,94.1,0,2,2,-0.4000000000000060,6.2,110,145,116,143,300,324,289,-0.8,0.8,64.948065,6.914105
1,596133,"Weaver, Luke",2024-07-07,745723,26,3.8,1,3,,4,2.05,1.842,0.926,1,1,106.1,31,2506,90.7,90.5,0,1,0,-0.20000000000000300,6,109,151,99,151,293,326,280,-1,1,72.87976,7.84129
7,680767,"Vodnik, Victor",2024-06-11,745899,22,31.8,1,3,,4,2.05,2,1,1,1,109.5,27,2253,99.6,100.7,0,4,3,1.1000000000000100,6.89,87,145,129,142,307,328,295,-1.6,1.6,75.9525425,7.55157
5,518585,"Cruz, Fernando",2024-09-06,745777,20,25,1,3,,4,2.05,1.843,0.937,1,1,106.2,25,2375,93.4,94.62,0,2,3,1.1999999999999900,6.88,103,147,125,148,301,324,293,-1.7,1.7,48.886395,6.12284
5,660853,"De Los Santos, Enyel",2024-07-12,745390,19,26.3,1,3,,4,2.05,1.966,0.989,1,1,108.1,26,2167,96,95.46,0,4,1,-0.5,6.1,116,154,125,149,306,336,310,-1,1,70.2654375,6.785565
6,669854,"Blanco, Ronel",2024-06-28,745804,98,6.1,1,3,,4,2.05,1.261,0.669,1,1,101.7,29,2196,92.9,93.58,0,1,5,0.6999999999999890,6.78,98,149,109,144,296,318,298,-1,1,70.39548,7.30137
7,606965,"Devenski, Chris",2024-06-24,745078,43,16.3,1,3,,4,2.05,1.836,0.966,1,1,107.6,23,2396,91.1,90.24,0,2,5,-0.8999999999999920,6.14,87,149,125,145,300,340,298,-1.5,1.5,73.1551,6.85246
5,543339,"Hudson, Daniel",2024-04-03,746163,14,35.7,1,3,,4,2.05,2,1,1,1,112,32,2328,95.2,94.96,0,1,4,-0.20000000000000300,6.12,118,154,125,148,305,316,288,-1,1,78.34514,7.62663
1,666204,"Jiménez, Dany",2024-08-18,745621,22,4.5,1,3,,4,2.05,1.387,0.723,1,1,102.5,28,2334,92.8,91.8,0,1,0,-1,5.7,100,149,104,151,310,323,295,-1.4,1.4,75.87965,7.31355
7,658648,"Avila, Pedro",2024-05-10,746801,17,41.2,1,3,,4,2.05,1.837,0.926,1,1,104.9,26,2229,92.5,92.37,1,4,3,-0.09999999999999430,6.17,100,151,129,146,317,329,304,-0.9,0.9,73.558385,7.485205
