savant_data (2)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1,621366,"Borucki, Ryan",2024-09-01,746592,11,9.1,1,3,,4,2.05,1.767,0.96,1,1,109,22,2288,87.5,88.4,0,1,0,0.9000000000000060,6.7,110,153,119,145,303,325,301,-1,1,84.06882,7.83985
2,656641,"Latz, Jacob",2024-07-20,744994,23,8.7,1,3,,4,2.05,1.777,0.886,1,1,105,29,2673,82.8,83.35,0,1,1,0.5,6.7,87,151,115,146,310,328,298,-1.8,1.8,81.40243,6.93087
6,677053,"Nardi, Andrew",2024-08-11,746025,37,16.2,1,3,,4,2.05,0.828,0.414,1,1,100.7,35,2353,83.3,83.52,1,3,3,0.20000000000000300,6.77,90,146,124,145,307,314,285,-1.8,1.8,76.547513333,8.332983333
3,680730,"Parker, Mitchell",2024-06-28,745070,92,3.3,1,3,,4,2.05,1.999,0.989,1,1,108.6,30,2336,86.4,87.13,0,2,1,0.6999999999999890,7,112,152,118,147,316,339,306,-1.1,1.1,74.6763,8.71683
3,671096,"Abbott, Andrew",2024-05-15,747203,95,3.2,1,3,,4,2.05,0.825,0.546,1,1,100.3,25,2762,81.7,81.83,0,1,2,0.09999999999999430,6.5,115,153,117,147,315,333,298,-1,1,75.13126,7.96831
1,687911,"King, Bryan",2024-07-28,746364,12,8.3,1,3,,4,2.05,1.767,0.96,1,1,109.3,22,2344,80.1,79.7,0,1,0,-0.3999999999999920,6.6,111,154,117,150,292,324,299,-1,1,76.15425,8.11767
3,656945,"Scott, Tanner",2024-06-13,745809,15,20,1,3,,4,2.05,1.836,0.96,1,1,106.9,24,2769,88.2,89.77,1,2,1,1.5999999999999900,7.07,104,145,121,145,300,329,307,-1.4,1.4,82.641285,9.2714
4,668941,"Romero, JoJo",2024-09-21,745124,16,25,1,3,,4,2.05,1.111,0.597,1,1,100.2,28,2740,83.8,82.47,0,1,3,-1.3000000000000000,5.38,112,149,119,146,310,319,299,-2.1,2.1,76.35813,8.39367
3,595345,"Okert, Steven",2024-05-17,746641,11,27.3,1,3,,4,2.05,0.92,0.497,1,1,99.7,32,2447,82,82.13,2,3,0,0.09999999999999430,6.33,87,152,127,147,298,322,294,-1.9,1.9,66.184756667,8.332256667
2,657612,"Hill, Tim",2024-07-24,745716,25,8,1,3,,4,2.05,1.359,0.814,1,1,103.5,23,2119,83.8,84.45,0,2,0,0.7000000000000030,6.9,115,154,122,151,298,323,276,-1,1,73.8352,8.55262
2,573124,"Rogers, Taylor",2024-07-13,745311,18,11.1,1,3,,4,2.05,0.623,0.334,1,1,102.2,38,2798,79.8,78.85,0,1,1,-1,5.8,111,153,132,148,308,305,284,-0.9,0.9,86.88225,8.21191
1,607536,"Freeland, Kyle",2024-03-28,747224,49,2,1,3,,4,2.05,1.651,0.829,1,1,106.2,33,2392,86.1,86.6,0,1,0,0.5,6.6,116,147,130,148,303,328,301,-1.5,1.5,,
1,641835,"Mayza, Tim",2024-06-12,745978,17,5.9,1,3,,4,2.05,2,1,1,1,105.9,31,2188,85.2,86.1,0,1,0,0.8999999999999920,6.7,87,149,119,149,314,323,300,-1.8,1.8,77.8974,7.63853
2,640462,"Puk, A.J.",2024-06-09,746054,12,16.7,1,3,,4,2.05,0.955,0.497,1,1,101.1,33,2206,84.1,85.15,0,1,1,1.1000000000000100,7.25,97,133,91,126,304,318,281,-1.9,1.9,73.71685,7.58225
2,690986,"Harrison, Kyle",2024-04-15,746080,85,2.4,1,3,,4,2.05,1.596,0.791,1,1,107,36,1990,82,82.05,0,1,1,0,6.5,115,153,126,148,287,323,288,-1,1,76.31916,7.77684
5,669674,"Long, Sam",2024-09-03,746264,25,20,1,3,,4,2.05,0.873,0.583,1,1,101.9,23,2345,86,85.9,0,3,2,-0.09999999999999430,6.02,86,145,102,147,315,322,291,-1.7,1.7,52.050006667,5.18973
7,690986,"Harrison, Kyle",2024-03-29,745435,76,9.2,1,3,,4,2.05,1.698,0.874,1,1,104.1,27,2061,82.7,82.71,0,2,5,0,6.66,107,149,125,148,294,319,295,-0.9,0.9,,
5,676979,"Crochet, Garrett",2024-04-29,746804,77,6.5,1,3,,4,2.05,1.937,0.974,1,1,108.2,27,2320,83.4,84.28,0,2,3,0.8999999999999920,6.9,108,151,113,148,292,320,292,-1.7,1.7,69.366135,7.678345
10,668868,"Thompson, Zack",2024-03-29,746167,87,11.5,1,3,,4,2.05,1.012,0.514,1,1,100,31,2055,83.9,84.88,0,5,5,1,6.75,109,152,119,145,313,319,299,-0.9,0.9,,
1,608344,"Irvin, Cole",2024-05-22,745173,56,1.8,1,3,,4,2.05,0.518,0.394,1,1,99.8,21,2300,78.6,78.6,0,1,0,0,6.2,110,152,121,149,304,323,288,-1.1,1.1,71.4718,8.1149
2,621363,"Poche, Colin",2024-04-23,745102,13,15.4,1,3,,4,2.05,1.021,0.614,1,1,101.2,25,2320,82.4,83.6,1,2,0,1.1999999999999900,7.15,107,155,123,146,304,332,293,-1,1,68.77488,7.96795
2,605483,"Snell, Blake",2024-07-22,746124,83,2.4,1,3,,4,2.05,1.817,0.894,1,1,106.3,30,2309,90.1,91.25,1,2,0,1.3000000000000000,6.85,118,153,132,149,307,327,293,-1,1,73.28015,7.95294
1,669211,"Akin, Keegan",2024-05-28,747033,29,3.4,1,3,,4,2.05,1.777,0.886,1,1,105.1,29,2664,87.3,86.7,0,1,0,-0.5999999999999940,5.9,112,154,123,149,313,327,297,-1.8,1.8,75.0794,8.03019
2,664076,"Cleavinger, Garrett",2024-07-13,745067,13,15.4,1,3,,4,2.05,1.882,0.931,1,1,110.8,35,2575,86.3,85.65,0,1,1,-0.5999999999999940,6,96,151,125,146,298,330,290,-1.8,1.8,81.07589,8.44714
6,664849,"Young, Danny",2024-06-26,745808,17,35.3,1,3,,4,2.05,2.013,0.997,1,1,112.3,25,2828,81.2,80.32,0,3,3,-0.9000000000000060,6.02,101,152,129,148,304,333,292,-1.7,1.7,74.856493333,8.532473333
5,676714,"Hughes, Brandon",2024-05-04,747209,18,27.8,1,3,,4,2.05,0.972,0.623,1,1,102,24,2494,80.7,80.58,1,3,2,-0.10000000000000900,6.42,111,141,116,139,300,325,282,-1.4,1.4,76.836803333,8.335236667
1,667463,"King, John",2024-06-15,746865,12,8.3,1,3,,4,2.05,0.851,0.409,1,1,100.8,34,2739,83.4,83.5,0,1,0,0.09999999999999430,6,114,152,120,148,300,314,294,-2.8,2.8,74.52397,7.576
5,623352,"Hader, Josh",2024-08-30,746353,15,33.3,1,3,,4,2.05,0.825,0.546,1,1,99.5,25,2583,85,84.62,3,5,0,-0.4000000000000060,6.42,93,149,119,143,294,340,296,-1.6,1.6,66.676694,8.232912
2,673513,"Matsui, Yuki",2024-05-06,746886,16,12.5,1,3,,4,2.05,1.281,0.634,1,1,105.6,38,2848,86,85.4,0,1,1,-0.5999999999999940,5.8,102,148,121,147,295,335,288,-1.6,1.6,81.26942,8.50447
3,640462,"Puk, A.J.",2024-06-17,746055,16,18.8,1,3,,4,2.05,1.359,0.814,1,1,103.9,23,2230,82.9,83.9,0,2,1,1,7.07,101,123,104,119,297,323,280,-1.5,1.5,71.5813,8.04411
5,596295,"Gomber, Austin",2024-08-30,746511,90,5.6,1,3,,4,2.05,1.113,0.577,1,1,100.8,31,2288,83,84.4,1,3,2,1.4000000000000100,6.82,114,151,129,148,316,340,309,-1.8,1.8,69.60328,6.48668
11,607536,"Freeland, Kyle",2024-08-11,746517,65,16.9,1,3,,4,2.05,1.502,0.76,1,1,103.4,28,2324,87.1,88.34,0,6,5,1.2000000000000000,6.59,118,153,132,147,319,350,308,-0.9,0.9,74.434466667,7.708401667
7,518617,"Diekman, Jake",2024-06-02,745813,13,53.8,1,3,,4,2.05,2,1,1,1,106.1,24,2938,83.9,84.53,1,3,4,0.5999999999999940,6.8,114,145,122,149,298,318,296,-1.4,1.4,73.774596667,7.32355
3,571948,"Milner, Hoby",2024-06-09,746463,13,23.1,1,3,,4,2.05,0.403,0.223,1,1,98.3,33,1894,80.1,80.97,0,2,1,0.9000000000000060,6.63,96,145,118,141,295,332,284,-2.1,2.1,70.51109,7.80955
