savant_data (18)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,685801,"Bigge, Hunter",2024-09-14,746584,23,8.7,1,3,,4,2.05,1.855,0.957,1,1,106.8,25,2229,89.5,90.6,0,1,1,1.0999999999999900,6.65,125,146,143,154,298,318,296,-1,1,78.52597,7.45322
2,702674,"Dana, Caden",2024-09-08,744965,43,4.7,1,3,,4,2.05,1.835,0.914,1,1,107.2,32,2106,83,82.6,0,2,0,-0.4000000000000060,6.15,124,150,107,153,307,336,307,-1.7,1.7,67.8785,6.710515
4,605135,"Bassitt, Chris",2024-05-17,744934,103,3.9,1,3,,4,2.05,1.261,0.669,1,1,102.5,29,2358,75.7,76.1,1,3,1,0.3999999999999920,6.67,106,148,131,154,277,318,302,-1.9,1.9,71.572983333,7.560723333
1,689225,"Brieske, Beau",2024-08-26,746753,20,5,1,3,,4,2.05,1.149,0.574,1,1,102.5,34,2362,84.6,84.5,0,1,0,-0.09999999999999430,6.1,125,149,107,152,279,321,304,-1,1,74.23483,7.40765
4,519326,"Strickland, Hunter",2024-08-25,744892,18,22.2,1,3,,4,2.05,1.88,0.943,1,1,105.7,28,2878,83.4,82.7,0,1,3,-0.7000000000000030,5.97,119,148,105,154,283,322,295,-1.8,1.8,76.82081,7.53503
6,594902,"Lively, Ben",2024-08-12,746603,79,7.6,1,3,,4,2.05,1.911,0.94,1,1,106.6,29,2011,77.6,78.22,1,2,4,0.6000000000000090,6.68,107,146,110,151,293,321,307,-1.6,1.6,76.391455,8.06871
8,471911,"Carrasco, Carlos",2024-07-07,746616,86,9.3,1,3,,4,2.05,2,1,1,1,107.7,27,2511,81.9,82.84,0,1,7,0.8999999999999920,6.66,112,146,122,152,292,316,309,-1.6,1.6,74.65024,7.7268
3,661527,"Martinez, Seth",2024-04-23,746888,42,7.1,1,3,,4,2.05,0.759,0.491,1,1,98.9,26,2417,78.2,78.47,1,3,0,0.29999999999999700,6.73,120,147,127,152,301,321,303,-0.8,0.8,71.403356667,7.474993333
3,676710,"Crawford, Kutter",2024-05-29,747031,96,3.1,1,3,,4,2.05,1.967,0.986,1,1,109.2,25,2263,81.3,81.07,0,2,1,-0.20000000000000300,6.1,126,148,132,151,300,320,302,-3.2,3.2,73.23856,7.508265
1,672456,"Montero, Keider",2024-08-01,746442,88,1.1,1,3,,4,2.05,0.236,0.134,1,1,94.4,29,2958,82.7,83.1,0,1,0,0.3999999999999920,6.3,87,140,93,152,281,322,301,-1.7,1.7,76.29865,8.16285
4,643338,"Green, Chad",2024-04-08,744956,23,17.4,1,3,,4,2.05,0.811,0.411,1,1,104.1,39,2250,86.3,86.1,0,1,3,-0.20000000000000300,6.35,127,150,109,153,281,317,301,-1.1,1.1,,
4,518489,"Brasier, Ryan",2024-04-01,746170,17,23.5,1,3,,4,2.05,0.732,0.394,1,1,102.3,37,2399,84.6,85.75,0,3,1,1.2000000000000000,6.9,126,150,146,154,288,310,301,-1.1,1.1,,
4,605397,"Musgrove, Joe",2024-04-26,745424,90,4.4,1,3,,4,2.05,1.798,0.883,1,1,106.6,33,2812,81.3,80.3,0,3,1,-1,6,127,149,119,153,294,329,300,-0.8,0.8,76.000696667,7.899496667
