pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
8,621199,"Bowman, Matt",2024-09-25,745690,23,34.8,1,3,,4,2.05,1.959,0.971,1,1,112.7,33,2522,83.8,84.04,1,6,2,0.20000000000000300,6.61,85,151,120,145,315,322,290,-1.9,1.9,73.037763333,8.247653333
8,676254,"Walker, Ryan",2024-07-09,745316,29,27.6,1,3,,4,2.05,0.959,0.603,1,1,101.2,24,2652,84.5,84.18,1,3,5,-0.29999999999999700,6.1,105,141,125,138,300,316,294,-2.1,2.1,61.53632,7.01623
3,650644,"Civale, Aaron",2024-05-14,746962,76,3.9,1,3,,4,2.05,0.533,0.271,1,1,102.5,40,2948,81.6,80.9,1,2,1,-0.6999999999999890,5.77,90,155,105,146,278,316,295,-1,1,72.007885,8.016485
3,657746,"Ryan, Joe",2024-04-06,745926,90,3.3,1,3,,4,2.05,0.851,0.409,1,1,101.5,34,2494,84.9,85.6,0,1,2,0.6999999999999890,6.77,106,153,111,149,298,321,288,-2.7,2.7,73.40327,8.02963
3,623167,"Flexen, Chris",2024-07-02,746623,101,3,1,3,,4,2.05,0.415,0.266,1,1,95.9,29,2681,78.5,78.67,0,1,2,0.20000000000000300,6.4,112,154,117,149,292,318,281,-1.9,1.9,73.44161,8.01699
1,663878,"Pearson, Nate",2024-08-12,746603,12,8.3,1,3,,4,2.05,0.757,0.469,1,1,97.9,28,2558,90.3,91.3,0,1,0,1,6.6,116,153,123,151,297,324,285,-1,1,71.8007,8.36455
2,600917,"Leclerc, José",2024-06-16,745242,12,16.7,1,3,,4,2.05,1.843,0.937,1,1,105.7,25,2461,82.6,81.8,0,1,1,-0.7999999999999970,5.4,113,154,117,149,305,329,290,-1,1,71.86164,7.88435
3,663623,"Irvin, Jake",2024-08-24,747077,83,3.6,1,3,,4,2.05,0.196,0.129,1,1,93.4,29,2504,85.1,86.53,0,2,1,1.4000000000000100,6.9,112,153,125,147,310,324,290,-1,1,63.332725,6.71654
2,622554,"Domínguez, Seranthony",2024-08-18,746999,17,11.8,1,3,,4,2.05,0.92,0.497,1,1,100.3,32,2525,91.2,91.95,0,1,1,0.7999999999999970,6.5,120,153,124,148,312,326,287,-1,1,71.79054,8.40178
10,676106,"Hancock, Emerson",2024-09-28,745203,93,10.8,1,3,,4,2.05,1.409,0.86,1,1,109.3,20,2187,82.4,81.94,0,2,8,-0.5,6.01,103,152,115,146,284,319,281,-2,2,79.06764,7.62824
6,605280,"Holmes, Clay",2024-09-03,744968,25,24,1,3,,4,2.05,1.945,0.966,1,1,109.7,32,2568,83.8,83.27,0,2,4,-0.5,6.1,96,143,103,149,290,316,281,-2.7,2.7,72.45886,6.449225
